waybillno,productcode
SF6507090444010,null
SF6507090134787,null
SF6507090409483,null
SF6507089086059,null
SF6507089077626,null
SF9600553063971,SE0001
SF6507089070615,null
SF6507089196098,null
SF6507089220396,null
SF6507089066751,null
SF6507089098333,null
SF6507089075802,null
SF6507090217945,null
SF6507089260570,null
SF6507088982133,null
SF6507089377141,null
SF6507090481713,null
SF6507090061444,null
SF6507089115915,null
SF6507089072456,null
SF6507089655022,null
SF6507089295289,null
SF6507089880487,null
SF6507090226402,null
SF6507089128365,null
SF6507089119534,null
SF6507089592300,null
SF6507090275686,null
SF6507089069003,null
SF6507090215821,null
SF6507089558195,null
SF6507089061699,null
SF6507089124994,null
SF6507089947841,null
SF6507090291063,null
SF6507090521737,null
SF6507088607482,null
SF6507090157768,null
SF6507089146998,null
SF6507088985977,null
SF6507089127564,null
SF6507088467847,null
SF6507089453102,null
SF6507089080486,null
SF6507090459237,null
SF6507088981360,null
SF6507089127449,null
SF6507088987824,null
SF6507089083471,null
SF6507089855465,null
SF6507089088686,null
SF6507090431836,null
SF6507089603473,null
SF6507090802930,null
SF6507089114504,null
SF6507090508391,null
SF6507089083001,null
SF6507090211269,null
SF6507089066858,null
SF6507089070688,null
SF6507089387259,null
SF6507089116682,null
SF6507089083602,null
SF6507089112799,null
SF6508603273284,null
SF6507089080953,null
SF6507089914434,null
SF6507089121867,null
SF6507089085347,null
SF6507090703061,null
SF6507089220447,null
SF6507089064965,null
SF6507089116715,null
SF6507088607340,null
SF6507089113794,null
SF6507089124912,null
SF6507089131799,null
SF1110409722153,S2
SF6507089879104,null
SF6507090273914,null
SF6507089114161,null
SF6507090507881,null
SF6507089124224,null
SF6507089868406,null
SF6507089109813,null
SF6507089387259,
SF6507089682256,null
SF6507089079325,null
SF6507090039240,null
SF6507090600604,null
SF6507090354021,null
SF6507089332606,null
SF6507089093534,null
SF6507089063519,null
SF6507089290789,null
SF6507088911203,null
SF6507089064886,null
SF6507089066955,null
SF6507089994150,null
SF6507089611713,null
SF6507090017777,null
SF6507090180533,null
SF6507089084818,null
SF6507089092390,null
SF6507089992867,null
SF6507090417423,null
SF6507090244975,null
SF6507089295234,null
SF6507089626505,null
SF6507089112550,null
SF6507090779814,null
SF6507089897057,null
SF6507089453023,null
SF6507090325887,null
SF6507088984196,null
SF6507089119913,null
SF6507089085310,null
SF6507088661374,null
SF6507089205011,null
SF6507089507735,null
SF6507089110967,null
SF6507089082194,null
SF6507089475063,null
SF6507089262181,null
SF6507089074728,null
SF6507090507679,null
SF6507089110579,null
SF6507090310467,null
SF6507089059144,null
SF6508603272340,null
SF6507090104587,null
SF6507089073406,null
SF6507089891642,null
SF6507088984423,null
SF6507089851616,null
SF6507089453157,null
SF6507089993817,null
SF6507089084836,null
SF6507089490498,null
SF6507089095472,null
SF6507090485333,null
SF6507089069791,null
SF6507088988185,null
SF6507089064125,null
SF6507089070227,null
SF6507089112587,null
SF6507090111684,null
SF6507089306051,null
SF6507089127228,null
SF6507089074289,null
SF6507090233914,null
SF6507089116876,null
SF6507090094532,null
SF6507089566170,null
SF6507089091147,null
SF6507089120871,null
SF6507089935406,null
SF6507090340737,null
SF6507089117914,null
SF6507089123918,null
SF6507089740133,null
SF6507089109268,null
SF6507089124824,null
SF6507090331263,null
SF6507089089266,null
SF6507089128152,null
SF6507090070433,null
SF6507090352571,null
SF6507089063476,null
SF6507090507863,null
SF6507089326841,null
SF6507090085862,null
SF6507089063652,null
SF6507090471697,null
SF6507090138819,null
SF6507089755880,null
SF6507089109770,null
SF6507089818405,null
SF6507090685448,null
SF6507089076842,null
SF6507089901701,null
SF6507089089257,null
SF6507089115720,null
SF6507088272768,null
SF6507090685306,null
SF6507089801244,null
SF6507089664708,null
SF6507089108333,null
SF6507089892036,null
SF6507089885171,null
SF6507090023717,null
SF6507090237154,null
SF6507089533929,null
SF6507089119604,null
SF6507090715567,null
SF6507089071674,null
SF6507089518062,null
SF6507088983208,null
SF6507090566040,null
SF6507088679803,null
SF6507090476810,null
SF6507090081476,null
SF6507089309822,null
SF6507088608440,null
SF6507089087576,null
SF6507089639731,null
SF6507089234517,null
SF6507090044222,null
SF6507089569447,null
SF6507089693650,null
SF6507089697709,null
SF6507089082634,null
SF6507090011901,null
SF6507089063546,null
SF6507089930167,null
SF6507089120914,null
SF6507089122631,null
SF6507089345002,null
SF6507090000597,null
SF6507089116009,null
SF6507089304201,null
SF6507089108139,null
SF6507088536245,null
SF6507090127301,null
SF6507089075354,null
SF6507089062232,null
SF6507090063595,null
SF6507089689955,null
SF6507090102781,null
SF6507089087415,null
SF6507089878251,null
SF6507088982821,null
SF6507090510607,null
SF6507090649022,null
SF6507089649295,null
SF6507090037029,null
SF6507089097092,null
SF6507089124233,null
SF6507089113698,null
SF6507089873125,null
SF6507088927044,null
SF6507089219904,null
SF6507090687632,null
SF6507089975788,null
SF6507089062911,null
SF6507089931639,null
SF6507090033322,null
SF6507088982876,null
SF6507089451467,null
SF6507090310200,null
SF6507089176289,null
SF6507089089196,null
SF6507089487956,null
SF6507090608415,null
SF6507090008539,null
SF6508603271521,null
SF6507089385384,null
SF6507090264484,null
SF6507089232942,null
SF6508603271919,null
SF6507089111917,null
SF6507090441354,null
SF6507090664254,null
SF6507088607782,null
SF6507089077238,null
SF6507088395545,null
SF6507088986801,null
SF6507090508319,null
SF6507089069021,null
SF6507089084342,null
SF6507089083823,null
SF6507089145190,null
SF6507089070272,null
SF6507089076790,null
SF6507089640424,null
SF6507090799360,null
SF6507090606082,null
SF6507089084475,null
SF6507089122021,null
SF6507089036842,null
SF6507090520954,null
SF6507089793783,null
SF6507090557195,null
SF6507089374826,null
SF6507090668986,null
SF6507089316982,null
SF6507089071443,null
SF6507089408448,null
SF6507089079837,null
SF6507089142557,null
SF6507090000515,null
SF6507089074525,null
SF6507089087063,null
SF6507089074298,null
SF6507089081020,null
SF6507089072299,null
SF6507089107869,null
SF6507088981139,null
SF6507089125061,null
SF6507090397412,null
SF6507089115209,null
SF6507089131832,null
SF6507089745418,null
SF6507089108420,null
SF6507090098849,null
SF6507089688040,null
SF6507089076181,null
SF6507089130907,null
SF6507089087124,null
SF6507089082149,null
SF6507090359989,null
SF6507090507633,null
SF6507088987190,null
SF6507090589561,null
SF6507090660404,null
SF6507089079546,null
SF6507089933910,null
SF6507089747514,null
SF6507089083611,null
SF6507090075297,null
SF6507089565112,null
SF6507089622419,null
SF6507090059563,null
SF6507089209822,null
SF6507089066442,null
SF6507090000685,null
SF6507090292428,null
SF6507090050783,null
SF6507089153915,null
SF6507089307620,null
SF6507088985482,null
SF6507089749938,null
SF6507090012914,null
SF6507089077510,null
SF6507090082347,null
SF6507090137888,null
SF6507089111759,null
SF6507089089141,null
SF6507089076897,null
SF6507089074659,null
SF6507089082652,null
SF6507090439153,null
SF6507090824024,null
SF6507090537472,null
SF6507088986583,null
SF6507089117401,null
SF6508603271558,null
SF6507089080865,null
SF6507089074085,null
SF6507090196366,null
SF6507089623839,null
SF6507089076833,null
SF6507088878305,null
SF6507089137062,null
SF6507088984327,null
SF6507089124621,null
SF6507090014261,null
SF6507090011310,null
SF6507089062408,null
SF6507089086508,null
SF6507089130721,null
SF6507089087151,null
SF6507090510970,null
SF6507088559880,null
SF6507089064601,null
SF6507090000560,null
SF6507089093507,null
SF6507089075672,null
SF6507090630268,null
SF6507089840512,null
SF6507089073133,null
SF6507089087300,null
SF6507089085910,null
SF6507089109461,null
SF6507089068787,null
SF6507090752396,null
SF6507090549535,null
SF6507090215760,null
SF6507089156257,null
SF6507090240668,null
SF6507089641305,null
SF6507089710612,null
SF6507089114295,null
SF6507089606097,null
SF6508603272368,null
SF6507089933028,null
SF6507090611296,null
SF6507089934996,null
SF6507090000224,null
SF6507089660491,null
SF6507089119773,null
SF6507090252156,null
SF6507090396902,null
SF6507090301044,null
SF6507090757626,null
SF6507090326439,null
SF6507089065263,null
SF6507089386324,null
SF6507089909434,null
SF6507089828064,null
SF6507089939413,null
SF6507090332054,null
SF6507088982576,null
SF6507090454552,null
SF6507089125177,null
SF6507090085438,null
SF6507088607225,null
SF6508603271646,null
SF6507089296098,null
SF6507089114461,null
SF6507089492212,null
SF6507090439223,null
SF6507089123893,null
SF6507089072571,null
SF6507089061892,null
SF6507089111795,null
SF6507089453306,null
SF6507089781049,null
SF6507089031198,null
SF6507089752116,null
SF6507090676247,null
SF6507088271377,null
SF6507088606609,null
SF6507089119677,null
SF6507089110297,null
SF6507088661055,null
SF9600553063571,SE0001
SF6507089809789,null
SF6507089707602,null
SF9600553063761,SE0001
SF1110447389526,S2
SF6507089115078,null
SF6507089813749,null
SF6507090307775,null
SF6507089802802,null
SF6507089063555,null
SF6507089210288,null
SF6507089111699,null
SF6507089210288,
SF6507089142954,null
SF6507089112366,null
SF6507089127246,null
SF6507089273840,null
SF6507088386971,null
SF6507089096998,null
SF6507089938958,null
SF6507089036860,null
SF6507089992063,null
SF6507089115872,null
SF6507089727246,null
SF6507090064192,null
SF6507089797994,null
SF6507088987084,null
SF6507090214987,null
SF6507089647296,null
SF6507089164823,null
SF6507089112684,null
SF6507089723654,null
SF6507089094104,null
SF6507089153166,null
SF6507089111247,null
SF6507090360413,null
SF6507090142524,null
SF6507089087188,null
SF6507088543766,null
SF6507089543076,null
SF6507089116742,null
SF6507089989937,null
SF6507090240807,null
SF6507090093052,null
SF6507089189724,null
SF6507089116628,null
SF6507090109941,null
SF6507089988208,null
SF6507090411135,null
SF6507090165822,null
SF6507089063237,null
SF6507090098276,null
SF6507090518754,null
SF6507090518879,null
SF6507089111025,null
SF6507089417483,null
SF6507089119968,null
SF6507090514923,null
SF6507089071301,null
SF6507090689428,null
SF6507089087451,null
SF6507090373129,null
SF6507089908420,null
SF6507089634031,null
SF6507089208809,null
SF6507090533156,null
SF6507089256257,null
SF6507090281247,null
SF6507090577930,null
SF6507089065032,null
SF6507089145930,null
SF6507089079952,null
SF6507089062001,null
SF6507089070388,null
SF6507090111762,null
SF6507089074386,null
SF6507089069146,null
SF6507089130024,null
SF6507090787808,null
SF6508603271937,null
SF6507089069225,null
SF6507089078602,null
SF6507089272679,null
SF6507089368346,null
SF6508603272021,null
SF6507089940788,null
SF6507089076824,null
SF6507090143089,null
SF6507089816355,null
SF6507089823732,null
SF6507088561231,null
SF6507089483754,null
SF6507089856654,null
SF6507089287338,null
SF6507088986061,null
SF6507088606593,null
SF6507089803737,null
SF6507089156141,null
SF6507089035266,null
SF6507089502681,null
SF6507089120262,null
SF6507089737150,null
SF6507089804131,
SF6507090692076,null
SF6507090741732,null
SF6507089942714,null
SF6507089061201,null
SF6507089122807,null
SF6507089121221,null
SF6507090101672,null
SF6507089079006,null
SF6507090438500,null
SF6507089127158,null
SF6507088779803,null
SF6507089094847,null
SF6507089368346,
SF6507089885311,null
SF6507090661551,null
SF6507089062348,null
SF6507089656017,null
SF6507089339759,null
SF6507089205781,null
SF6507089087346,null
SF6507089116637,null
SF6507088985791,null
SF6508603271479,null
SF6507089994936,null
SF6507089804131,null
SF6507089406846,null
SF6507088985340,null
SF6507089082130,null
SF6507089075211,null
SF6507089080007,null
SF6507090720196,null
SF6507089778321,null
SF6507089077529,null
SF6507089284555,null
SF6507089088428,null
SF6507089030420,null
SF6507090083590,null
SF6507089109204,null
SF6507090478989,null
SF6507089288914,null
SF6507088708980,null
SF6507089123169,null
SF6507089758829,null
SF6507089354982,null
SF6507089596486,null
SF6507089109716,null
SF6507089296917,null
SF6507089430097,null
SF6507090508567,null
SF6507089168530,null
SF6507089829245,null
SF6507089072669,null
SF6507089064831,null
SF6507089558777,null
SF6507090310167,null
SF6507089098175,null
SF6507090358126,null
SF6507089056635,null
SF6507089823363,null
SF6507089760386,null
SF6507088701334,null
SF6507090549465,null
SF6507089096421,null
SF6507090469026,null
SF6507090030160,null
SF6507089064055,null
SF6507089419782,null
SF6507088645571,null
SF6507089064259,null
SF6507089186078,null
SF6507090255496,null
SF6507089411201,null
SF6507090581971,null
SF6508603271594,null
SF6507088985913,null
SF6507089073521,null
SF6507089067941,null
SF6507090167294,null
SF6507089061786,null
SF6507089243889,null
SF6507089295100,null
SF6507089383533,null
SF6507090333156,null
SF6507089071489,null
SF6507089078357,null
SF6507090067026,null
SF6507089176270,null
SF6507089074640,null
SF6507090041865,null
SF6507089261044,null
SF6507089109798,null
SF6507089069659,null
SF6507090045484,null
SF6507090069440,null
SF9600553063401,SE0001
SF6507089957773,null
SF6507090223515,null
SF6507090798046,null
SF6507089088243,null
SF6507089210515,null
SF6507089067483,null
SF6507088568205,null
SF6507089702927,null
SF6507090440534,null
SF6507089098324,null
SF6507089096643,null
SF6507089250453,null
SF6507089927794,null
SF6507089112578,null
SF6507089081127,null
SF6507089783551,null
SF6507089065290,null
SF6507089074986,null
SF6507088986016,null
SF6507089119852,null
SF6507089114037,null
SF6507089998200,null
SF6507089063325,null
SF6507090098876,null
SF6507089412223,null
SF6507089094477,null
SF6507089888022,null
SF6507089124772,null
SF6507089088737,null
SF6507089067022,null
SF6507088608495,null
SF6507089123405,null
SF6507089067138,null
SF6507089110109,null
SF6507090000506,null
SF6507089124588,null
SF6507090460098,null
SF6508603273187,null
SF6507090060343,null
SF6507088691699,null
SF6507089648457,null
SF6507088839018,null
SF6507089076967,null
SF6507089163980,null
SF6507089063925,null
SF6507090518288,null
SF6507089084420,null
SF6507090287553,null
SF6507088984080,null
SF6507089733947,null
SF6507089073258,null
SF6507090163153,null
SF6507089592460,null
SF6507089124020,null
SF6507089220369,null
SF6507090442824,null
SF6507089066212,null
SF6507090770725,null
SF6507089868830,null
SF6507090404735,null
SF6507090136362,null
SF6507090676007,null
SF6507089111089,null
SF6507089142796,null
SF6507086340439,null
SF6507090018180,null
SF6507090038342,null
SF6507088987109,null
SF6507089894566,null
SF6507090469169,null
SF6507089131805,null
SF6507089955086,null
SF6507089842839,null
SF6507089792018,null
SF6507090067732,null
SF6507089429784,null
SF6507089114629,null
SF6507089255095,null
SF6507089066919,null
SF6507089065087,null
SF6507089299287,null
SF6507089098148,null
SF6507089611644,null
SF6507088982300,null
SF6507089838445,null
SF6507089524224,null
SF6507089298246,null
SF6507089085204,null
SF6507089507505,null
SF6507089998282,null
SF6507089114347,null
SF6507089373470,null
SF6507089899205,null
SF6507089083799,null
SF6507089122464,null
SF6507090408415,null
SF6507089116188,null
SF6507090549571,null
SF6507089076763,null
SF6507090186328,null
SF6507090322768,null
SF6507089227130,null
SF6507090439762,null
SF6507089127112,null
SF6507089110851,null
SF6507090278185,null
SF6507089075750,null
SF6507089884494,null
SF6507089115836,null
SF9600553063711,SE0001
SF6507089150001,null
SF6507089132960,null
SF6507089121294,null
SF6507090177330,null
SF6507090023878,null
SF6507089126684,null
SF6507089075741,null
SF6507089127325,null
SF6507089018468,null
SF6507088607182,null
SF6507089747393,null
SF6507090437084,null
SF6507088985816,null
SF6507090536671,null
SF6507089220508,null
SF6507089074368,null
SF6507089495977,null
SF6507089082721,null
SF6507090168516,null
SF6507089749329,null
SF6507089562772,null
SF6507090103626,null
SF6507090609871,null
SF6507089813176,null
SF6507089862288,null
SF6507090596569,null
SF6507089072429,null
SF6507089115924,null
SF6507089299666,null
SF6507089112117,null
SF6507090694172,null
SF6507090492728,null
SF6507090168516,
SF6507088983650,null
SF6507089981843,null
SF6507089130634,null
SF6507089109143,null
SF6507090492728,
SF6507089439999,null
SF6507090062997,null
500004166004,null
SF6507090472867,null
SF6507089120299,null
SF6507089080431,null
SF6507089406591,null
SF6507089452610,null
SF6507089472041,null
SF6507088982803,null
SF6507089155095,null
SF6507089080335,null
SF9600553064051,SE0001
SF6507089122640,null
SF6507090322801,null
SF6507089124676,null
SF6507089127891,null
SF6507088986186,null
SF6507089087460,null
SF6507090714553,null
SF6507088872131,null
SF6507089122340,null
SF6507090042232,null
SF6507090033995,null
SF6507089066673,null
SF6507089951194,null
SF6507090508197,null
SF6507089084120,null
SF6507089072650,null
SF6507089108005,null
SF6507090216100,null
SF6507089662860,null
SF6507089794354,null
SF6507089087821,null
SF6507089111865,null
SF6507090059457,null
SF6507089067738,null
SF6507089073285,null
SF6507089084854,null
SF6507090537066,null
SF9600553063451,SE0001
SF6507089909531,null
SF6507089098184,null
SF6507089183394,null
SF6507090084018,null
SF6507090190526,null
SF6507089061061,null
SF6507089555369,null
SF6507089957455,null
SF6507089514295,
SF6507089098014,null
SF6507089359658,null
SF6507089949868,null
SF6507089805506,null
SF6507089818257,null
SF6507089899735,null
SF6507089667290,null
SF6507088898557,null
SF6507088867874,null
SF6507089390568,null
SF6507090026165,null
SF6507090000445,null
SF6507090287571,null
SF6507088691210,null
SF6507089803525,null
SF6507089124136,null
SF6508603273450,null
SF6507089070342,null
SF6507090347193,null
SF6507089683454,null
SF6507090590217,null
SF6507090351277,null
SF6507088607261,null
SF6507089183154,null
SF6507089110190,null
SF6507089085840,null
SF6507089125644,null
SF6507089514295,null
SF6507089164384,null
SF6507090642385,null
SF6507089935673,null
SF6507089068820,null
SF6507090105130,null
SF6507090192570,null
SF6507088767786,null
SF6507089409586,null
SF6507089113925,null
SF6507089110312,null
SF6507089108906,null
SF6507089683454,
SF6507089069400,null
SF6507089117156,null
SF6507089067314,null
SF6507090089075,null
SF6507089140424,null
SF6507089081649,null
SF6507089035196,null
SF6507089114073,null
SF6507090214696,null
SF6507089072605,null
SF9600553063581,SE0001
SF6507089098388,null
SF6507089109082,null
SF6507089077371,null
SF6507089120341,null
SF6507089060967,null
SF6507089060409,null
SF6507090180772,null
SF6507089113873,null
SF6507089062541,null
SF6507089061025,null
SF6508603272377,null
SF6507090288732,null
SF6507090715300,null
SF6507089417623,null
SF6507090320123,null
SF6507088981439,null
SF6507089127519,null
SF6507089135849,null
SF6507089018371,null
SF6507089966540,null
SF6507090534196,null
